,SIC,state_of_INC
1311,7371,K7
1312,2430,IN
1313,6021,CT
1314,7389,NY
1315,3089,D0
1316,6029,NJ
1317,7372,DE
1318,4833,DE
1319,5172,DE
1320,5411,DE
1321,6321,PA
1322,2834,WA
1323,2834,WA
1324,6022,AL
1325,4841,DE
1326,7389,DE
1327,5531,PA
1328,7374,DE
1329,7371,DE
1330,6035,MO
1331,7363,DE
1332,7363,DE
1333,0700,DE
1334,6035,IN
1335,5063,DE
1336,7372,DE
1337,2834,DE
1338,2834,DE
1339,8071,DE
1340,2834,0
1341,2834,NV
1342,3140,DE
1343,8011,DE
1344,5700,DE
1345,2800,DE
1346,1381,TX
1347,6282,DE
1348,1311,DE
1349,3443,PA
1350,5812,DE
1351,5812,DE
1352,5812,DE
1353,3089,DE
1354,1311,DE
1355,2741,DE
1356,4841,DE
1357,2300,DE
1358,3674,DE
1359,7389,Z4(Assistant
1360,7389,Z4(Assistant
1361,3669,DE
1362,2810,0
1363,2221,DE
1364,5045,DE
1365,6021,KY
1366,4812,DE
1367,2834,DE
1368,7200,OK
1369,1381,A0
1370,3845,MA
1371,6311,DE
1372,6311,DE
1373,3555,DE
1374,6035,PA
1375,8700,GA
1376,4833,NY
1377,5331,DE
1378,5331,DE
1379,1311,DE
1380,6200,0
1381,3661,A6
1382,7310,DE
1383,7372,TN
1384,2834,NV
1385,7372,DE
1386,5045,DE
1387,2990,NV
1388,3841,NV
1389,4700,DE
1390,2821,0
1391,3241,PR
1392,6035,MO
1393,6035,OH
1394,6361,0
1395,1311,DE
1396,1311,DE
1397,2834,A1
1398,2834,A1
1399,7373,FL
1400,7374,DE
1401,5812,IN
1402,5812,IN
1403,3569,OH
1404,7373,CA
1405,2834,CA
1406,1311,DE
1407,6794,CO
1408,7310,DE
1409,8090,DE
1410,7372,0
1411,7372,0
1412,3663,DE
1413,5812,MN
1414,8741,DE
1415,8741,DE
1416,4400,DE
1417,4400,DE
1418,7372,DE
1419,1311,DE
1420,3949State,DE
1421,8090,DE
1422,3674,E9
1423,5080,DE
1424,3679,DE
1425,2731,DE
1426,7011,WA
1427,7373,DE
1428,2090,DE
1429,2090,DE
1430,7830,DE
1431,2834,DE
1432,4832,DE
1433,7200,MN
1434,4899,0
1435,3825,CO
1436,4911,DE
1437,2834,DE
1438,4899,DE
1439,3674,CA
1440,3669,DE
1441,7389,OR
1442,7389,OR
1443,2621,CT
1444,2836,DE
1445,5065,FL
1446,5065,FL
1447,5065,FL
1448,4953,DE
1449,8050,KY
1450,3663,DE
1451,7011,NV
1452,7011,NV
1453,7011,NV
1454,3490,DE
1455,7372,DE
1456,8082,DE
1457,6029,X0
1458,6036,0
1459,0100,DE
1460,3949State,DE
1461,3949State,DE
1462,4813,0
1463,4813,0
1464,5812,DE
1465,5812,DE
1466,4100,DE
1467,4100,DE
1468,4100,DE
1469,6211,IL
1470,3990,NJ
1471,3990,NJ
1472,5051,DE
1473,7370,DE
1474,7370,DE
1475,4832,DE
1476,4832,DE
1477,7372,DE
1478,7372,DE
1479,7372,DE
1480,7310,DE
1481,3634,DE
1482,7373,PA
1483,7374,DE
1484,7011,NV
1485,5045,DE
1486,5045,DE
1487,7370,CA
1488,5812,NY
1489,7389,DE
1490,1531,DE
1491,2834,DE
1492,2834,DE
1493,2834,DE
1494,8200,DE
1495,3812,DE
1496,3812,DE
1497,4412,DE
1498,6022,FL
1499,2820,DE
1500,2820,DE
1501,2510,DE
1502,5311,NY
1503,4412,0
1504,6500,DE
1505,7371,DE
1506,1382,DE
1507,8093,DE
1508,7372,DE
1509,3724,DE
1510,2835,0
1511,2835,0
1512,6022,MA
1513,3420,DE
1514,2834,DE
1515,2834,DE
1516,5812,DE
1517,5331,WI
1518,4931,NV
1519,7370,0
1520,2834,DE
1521,1090,NV
1522,1090,NV
1523,1090,NV
1524,3576,0
1525,3571,DE
1526,3571,DE
1527,3674,CA
1528,7372,CA
1529,2834,B9
1530,3674,DE
1531,6035,DE
1532,7389,MN
1533,7389,MN
1534,7990,0
1535,7990,0
1536,2834,NV
1537,4899,DE
1538,5500,FL
1539,7372,DE
1540,5812,DE
1541,3272,DE
1542,3672,DE
1543,3672,DE
1544,3420,DE
1545,3571,DE
1546,7372,DE
1547,7374,DE
1548,3621,DE
1549,2800,DE
1550,6519,DE
1551,7389,DE
1552,5990,VA
1553,2834,0
1554,6022,TX
